courier_id,mean,median,std,count
0,6.814629190973206,5.4711115949079945,4.694815946600724,33
1,7.290559980422617,6.827344355124152,4.059421034276008,34
2,6.020831016763463,5.4752642858769445,3.5254934612468385,305
3,5.95580288137449,5.425544276815851,3.65983404113919,169
4,6.181054212698784,5.608871557362487,3.3404851979438175,512
5,5.256156993350873,4.514983972265526,3.8692751727343335,380
6,10.33891668510383,9.777503011605402,5.252641497571047,241
7,9.165220225972398,9.12871247778007,4.309021652340868,226
8,5.262450743974391,4.982447328037873,3.507319014960408,53
9,6.943851370090099,5.951517890876503,4.150687039085292,222
10,6.5956213156834655,5.656468088921283,4.492250612011401,155
11,8.270920250323243,7.213488606994693,5.1782317447505815,283
12,8.16935685405554,7.177263771674137,5.0893624134262065,769
13,6.121033794982511,5.60856715392108,4.255988276253614,599
14,5.532666335278273,5.691526474535927,2.8014666614309114,176
15,5.245973901043825,4.5201587781788595,3.1771832486262426,378
16,4.791394561034708,4.07481814545404,3.012391894138958,167
17,6.262861368878272,5.617020813043751,4.145929827448224,409
18,5.836444351122654,5.270354209366037,3.1314678135769958,300
19,5.360165147687573,4.837148853755571,2.9907966167608393,633
20,5.441927427390063,5.088769780384572,2.892595094640011,454
21,6.927212572276986,6.1502377321561665,4.440363546496697,578
22,8.619726626255177,8.08194180002692,4.300822438043296,59
23,6.8561236712115825,5.892069458654556,4.261065375093464,146
24,6.978626288289965,6.552842236600979,3.673800299383598,217
25,5.238853340380503,4.823799439882547,2.9283843912170147,338
26,5.456204879802859,4.866813355256221,3.1528799653916844,430
27,6.977235422113056,6.659734269184226,4.1786246986324835,420
28,6.609286393904719,5.887501642368922,3.8022250289712005,328
29,5.508988093644814,4.908938571601288,2.977779588025877,538
30,7.285207207397208,6.6296945151516855,4.453211091231621,671
31,6.741352241704407,6.345356648673491,3.8965836377047522,480
32,6.693028825995503,5.580897531204033,5.48426744544088,507
33,5.7266398571348835,5.210904490470216,3.570306054782485,336
34,5.823674227674668,5.122453729889796,3.6608717677124756,241
35,5.372878815170042,4.924392673443546,3.151957933954362,343
36,5.136316369503699,4.408565349800983,3.0224735747489015,412
37,5.80991547594622,5.0997009777042495,3.412891674973157,655
38,5.953542073826925,5.108070454470326,4.703390660270736,357
39,6.240157597623146,5.4977797511932325,3.569337072658591,162
40,5.891163640096654,4.507489007279895,4.273068995866147,249
41,5.606912161195371,5.127435477402762,2.926411078723438,818
42,5.950882756506171,5.04358812541232,3.853591929190418,270
43,5.069947859680774,4.0298418406950685,3.616870873498881,292
44,7.7605926835441466,6.741853715075828,5.170072217062553,151
45,5.748776069654667,5.2898114618684,3.199014288284134,136
46,5.851330431581568,5.278059875657295,3.1615927325821755,604
47,4.956534568424703,4.32643833315741,2.9195776038188885,409
48,5.606763175166437,4.959143453806832,3.42928206218691,472
49,6.47545836809705,5.9429377858693835,3.9250636362006213,514
50,6.463709059563713,5.549083672012077,3.727328936926443,359
51,5.763546229974779,5.00740799844918,3.065211875965148,514
52,5.300014915817041,4.494269312461302,3.3806223476527233,610
53,5.993750982172666,5.59794620686709,2.9358529814630554,268
54,5.303162525619948,5.0231346001343855,2.641314109309128,441
55,6.52579912075838,5.553203485341036,4.14070342172929,104
56,6.141909689673436,5.077283569215363,3.883191330129416,231
57,6.425397724230931,5.820123679880397,3.5536382257648693,306
58,6.0735429940132315,5.199275594078168,4.07815715583043,540
59,6.294822573341638,5.549458086797407,3.7162605045550428,199
60,6.054298408120294,5.585430082129136,3.23959265521553,332
61,6.589321938714911,6.274006517305419,3.397958886783611,254
62,5.642145630185854,4.9783807090097305,3.5054537228444227,578
63,6.722268741834403,6.130556855088766,3.8990487195545542,93
64,5.57095195356502,4.833836309782873,3.451008356243739,480
65,7.498277125941714,6.824944311873198,4.86216578860735,690
66,5.987457310962835,4.737321354240503,4.266728892236536,183
67,9.522324550542281,9.15002413744682,4.597059489382062,79
68,5.1917593343696415,4.555522854643347,3.041159293964611,261
69,6.587819911261905,5.945902071156951,3.682399985593334,388
70,5.416309827931194,5.116611172794609,2.6682318011552324,439
71,6.415405977720593,5.725566939129963,3.800109808107408,433
72,6.3945392860665775,5.736811336302509,3.8971665943186693,510
73,6.457579816128451,6.058654453599688,5.120156192233268,300
74,6.808926383125606,6.219135114135176,3.639770803424969,235
75,6.3303816121370895,5.797536056432238,3.2890875335111085,494
76,7.377884724295067,7.063555501989798,3.6567504936484636,144
77,5.6039701515223115,4.958972859352323,3.412261406425072,483
78,6.754373053489269,6.248727434713174,3.684657208970533,321
79,6.397424287459548,5.812312211895011,3.5524181462691433,267
80,5.489383277865207,4.8940637973413965,3.4190769647570574,464
81,6.428863229844856,5.9095471403184305,3.483135596700564,399
82,4.7066705797550075,4.0927883578831725,2.7493364602921426,1018
83,6.468211687018633,5.6328915745225325,3.8547950614537334,307
84,5.662492833130387,5.068508926149954,3.1225611924352585,305
85,5.713197915086845,5.031171135150416,3.3736289137220847,472
86,4.4230411884900915,3.9547878100019855,2.8238726680659028,333
87,4.652009352411422,4.21262147311449,2.503911692562655,576
88,4.892348459035379,4.650419873690974,2.555095666330129,281
89,5.734492485735699,5.357798621678659,3.05354508255808,427
90,6.278963524162226,5.854406429902571,2.8842747340297294,158
91,5.147369896438132,4.90501856461043,2.6976574208942465,85
92,6.656533950223193,6.10729521458482,3.987257426857867,146
93,5.970543024115804,5.302259373948704,3.302320740442296,201
94,5.704295786047861,5.028593440455336,3.2498618520369997,473
95,5.859834118841333,5.4784437569056,3.031507438421216,221
96,4.710645576518612,4.129916730174058,2.7649809568068084,443
97,5.971706771264452,5.307882085556927,3.412196484677186,92
98,5.544756572879791,4.964583774056632,3.0449936714060795,311
99,5.4405142336109,4.743339794288021,3.2874401053589857,210
100,5.545252263914159,5.416889508616652,2.66506021611319,88
101,6.043691687303872,5.172294868620025,3.3947494684595587,246
102,5.828997186516266,5.456441940122318,3.9747276715816207,233
103,4.62939460651875,3.968012167689281,2.559816713877217,153
104,5.756304445234577,5.386340560373096,3.0954642579321088,342
105,6.008861594966294,5.58897558362887,3.1631277020091804,445
106,6.634947090668095,6.4230959571058,4.210840153494395,267
107,4.704018099670706,4.36243296624598,2.4692934822383887,72
108,6.065620442018832,5.610272618393242,3.200860559414564,435
109,6.869587348772851,6.056209919403106,3.8952407220469074,486
110,4.990394396134553,4.360329346471749,3.1149036698030175,712
111,6.483295348316209,6.093468465693392,3.505178905310131,77
112,5.896713316276561,5.357645843737601,3.2312535152973982,268
113,7.382415275632279,6.547947263449942,4.68853960083385,659
114,6.90285870899622,6.383650680121119,4.076344824060889,571
115,6.237949618800298,5.8197880580137085,3.2514036546840077,259
116,6.41253674721943,5.581363159693037,3.5758988687199347,178
117,6.158605204595892,5.24214597825485,3.5494415426578354,399
118,6.0240572013486595,5.2220961115690665,3.9635878794431356,383
119,5.744894106759994,5.096448307921813,3.361146796934933,373
120,7.149288277275456,6.461052215769792,4.622894888132666,305
121,6.717675793305758,6.233999981466598,3.622585774066295,314
122,7.138405233312813,6.543023006303551,4.041052373661103,310
123,5.708056614484888,4.964371657077798,3.3249831968434176,224
124,6.584621010801726,6.1041228410240365,3.542652764680829,313
125,5.353847971312069,4.7483666365762405,3.1453291441181386,390
126,6.319914684571197,5.623394847647704,3.950058112952987,270
127,6.157401947002856,5.452330305916405,3.6739356863929316,463
128,6.619764016689805,6.238672283289456,3.1547204587682756,50
129,6.55816261959765,6.118777122276728,4.161857531496598,427
130,6.0663447754094415,5.476583305503766,3.2317753308656014,696
131,6.496971067825183,6.027604874477618,4.031635613851114,525
132,6.834911238083218,6.0303961798295145,4.230347486668207,546
133,6.398328141688469,5.854674780033724,3.9479688549571,312
