courier_id,dispatch_to_dispatch,fetch_to_arrive,grab_to_fetch,delivery_pickup_ratio
0,,9.826399296928786,3.614623453395401,2.718512570845615
1,12.05089408121512,7.9211826777966605,5.941143043293034,1.3332758730222622
2,8.275347960841462,7.631305340705781,3.8935791608218846,1.9599717960003953
3,10.120289151894207,6.363714992119523,4.874637975396583,1.3054743807106608
4,10.911495297585656,7.819863335109195,4.346170528253452,1.7992536841971725
5,9.098007793122337,5.515019001234781,4.63091539360198,1.190913357832939
6,,12.000160279846042,8.548783501114377,1.4037272412246447
7,12.28462495902982,10.77719132677864,7.07925697010899,1.522361933220333
8,,7.474812220816068,2.9649984411003407,2.5210172515443516
9,,8.806605075574511,4.752376422461378,1.8530950187260933
10,,7.68229682797304,5.406152173852986,1.421028595001209
11,,10.376260188786405,5.896476710703138,1.7597390268584756
12,10.167515435317435,10.775576474762843,4.629440422793558,2.327619645283285
13,10.191084938953116,6.717651222508463,5.239400880144869,1.2821411028053882
14,,6.392514397431189,4.374737611579013,1.4612337847443797
15,8.527030664494928,6.075029416551925,3.984742832177671,1.524572518832265
16,2.475726859227182,5.455732381779663,4.095673721822993,1.3320720233913812
17,18.24936977437579,7.057450307346582,4.804208340292149,1.4690142074307733
18,9.848360493535173,6.826581989122626,4.420265250562942,1.5443828825098738
19,7.000297968734981,6.039151492376141,4.502073453160756,1.3414155844428202
20,9.66116229368495,5.986231113396577,4.55382428329571,1.3145503078270293
21,5.559729798696419,9.158414246038287,4.035262448852746,2.2695956860605406
22,13.271984337614157,9.237597979016595,6.775583126585661,1.363365751173595
23,7.639901272345043,8.050258276837528,5.321980334068748,1.5126433717358299
24,7.137771153832554,7.071389893425289,6.847266515886888,1.0327318028323265
25,9.530878152025625,6.158072652165396,3.9142211174443866,1.5732562028039005
26,9.784059541430048,6.296184411318365,4.310737612732118,1.4605816862344085
27,9.693715394077422,8.614207358557827,4.044591554404595,2.1298089665387554
28,10.971935551986968,7.817867957887188,5.08537349373687,1.5373242432469612
29,9.488633140207007,6.154405742924431,4.559031822154663,1.3499370004431712
30,9.320269730429334,9.144939410945367,4.710505852884819,1.941392219127549
31,9.924308642141089,8.52479879163994,4.210120071375936,2.024835075274681
32,13.713250539877501,7.833766803476921,4.769351715075542,1.642522353450052
33,10.833230408129056,6.2542103644554095,4.7879360634301795,1.306243500665036
34,8.959085858756865,6.843495341760362,3.8500697359711955,1.7774990613342911
35,6.685935326261663,6.205363313510436,4.213387456859622,1.4727730067662705
36,9.399135868295405,5.433839608076056,4.514038908538525,1.2037644597607884
37,12.037583719354432,6.5657543660581705,4.727415877044601,1.3888675201900849
38,16.67290330035768,6.1671634412550915,4.788501798049585,1.2879108542398485
39,7.586705480260048,6.96479061277803,5.225591290957096,1.3328234500142833
40,11.555142204556683,6.903848826373767,4.286406100653217,1.6106380646765295
41,7.632567940204571,6.0493059284184065,5.039021456986375,1.2004921947754992
42,11.678911070348155,6.746966206884888,4.869603718436034,1.3855267485814646
